"Sample","replicate","Donor","MFI","severe","dose","time"
"10_60M",2,"8",76.2332336306572,1,"10","60M"
"10_60M",2,"9",86.7717536315321,1,"10","60M"
"1_120M",1,"10",61.998100555,1,"1","120M"
"1_120M",1,"6",61.38892576,1,"1","120M"
"1_120M",1,"7",56.32104725,1,"1","120M"
"1_120M",1,"8",54.00919503,1,"1","120M"
"1_120M",1,"9",56.55503,1,"1","120M"
"1_120M",2,"10",78.9551081359386,1,"1","120M"
"1_120M",2,"6",81.5926699191331,1,"1","120M"
"1_120M",2,"7",70.7466932833194,1,"1","120M"
"1_120M",2,"8",70.6984553486108,1,"1","120M"
"1_120M",2,"9",76.3922086507081,1,"1","120M"
"1_240M",1,"10",59.48172373,1,"1","240M"
"1_240M",1,"6",62.1046056,1,"1","240M"
"1_240M",1,"7",54.65576072,1,"1","240M"
"1_240M",1,"8",57.23559201,1,"1","240M"
"1_240M",1,"9",57.23833703,1,"1","240M"
"1_240M",2,"10",76.2582189291715,1,"1","240M"
"1_240M",2,"6",73.1929558068513,1,"1","240M"
"1_240M",2,"7",68.1093268096446,1,"1","240M"
"1_240M",2,"8",66.2258510887623,1,"1","240M"
"1_240M",2,"9",73.5936620831489,1,"1","240M"
"1_30M",1,"10",75.52709162,1,"1","30M"
"1_30M",1,"6",69.106920095,1,"1","30M"
"1_30M",1,"7",61.93398076,1,"1","30M"
"1_30M",1,"8",65.11083576,1,"1","30M"
"1_30M",1,"9",64.71236834,1,"1","30M"
"1_30M",2,"10",68.337128996849,1,"1","30M"
"1_30M",2,"6",77.807668119669,1,"1","30M"
"1_30M",2,"7",63.2560067474842,1,"1","30M"
"1_30M",2,"8",62.0175798386335,1,"1","30M"
"1_30M",2,"9",67.4803464561701,1,"1","30M"
"1_60M",1,"10",67.448138965,1,"1","60M"
"1_60M",1,"6",66.89369766,1,"1","60M"
"1_60M",1,"7",58.000297995,1,"1","60M"
"1_60M",1,"8",57.00515328,1,"1","60M"
"1_60M",1,"9",60.844143845,1,"1","60M"
"1_60M",2,"10",64.0637168809772,1,"1","60M"
"1_60M",2,"6",71.3961346745491,1,"1","60M"
"1_60M",2,"7",59.4556263759732,1,"1","60M"
"1_60M",2,"8",58.6287966966629,1,"1","60M"
"1_60M",2,"9",59.994995445013,1,"1","60M"
"M_120M",1,"10",51.5980489,1,"0","120M"
"M_120M",1,"6",51.27379632,1,"0","120M"
"M_120M",1,"7",50.95998951,1,"0","120M"
"M_120M",1,"8",49.964482135,1,"0","120M"
"M_120M",1,"9",48.52278608,1,"0","120M"
"M_120M",2,"10",61.5354753285646,1,"0","120M"
"M_120M",2,"6",70.9221868813037,1,"0","120M"
"M_120M",2,"7",61.2962403818965,1,"0","120M"
"M_120M",2,"8",60.7193794399499,1,"0","120M"
"M_120M",2,"9",62.2622670829296,1,"0","120M"
"M_240M",1,"10",54.927542985,1,"0","240M"
"M_240M",1,"6",59.86728792,1,"0","240M"
"M_240M",1,"7",54.155158535,1,"0","240M"
"M_240M",1,"8",54.45639618,1,"0","240M"
"M_240M",1,"9",54.36569151,1,"0","240M"
"M_240M",2,"10",58.6520384401083,1,"0","240M"
"M_240M",2,"6",74.5396769642829,1,"0","240M"
"M_240M",2,"7",60.1861556023359,1,"0","240M"
"M_240M",2,"8",58.3360462561249,1,"0","240M"
"M_240M",2,"9",60.8316177129745,1,"0","240M"
"M_30M",1,"10",53.23380482,1,"0","30M"
"M_30M",1,"6",52.52332838,1,"0","30M"
"M_30M",1,"7",51.66016047,1,"0","30M"
"M_30M",1,"8",49.40943596,1,"0","30M"
"M_30M",1,"9",46.48285294,1,"0","30M"
"M_30M",2,"10",61.6313739717006,1,"0","30M"
"M_30M",2,"6",69.8515455573797,1,"0","30M"
"M_30M",2,"7",63.3236338049173,1,"0","30M"
"M_30M",2,"8",60.9833759069442,1,"0","30M"
"M_30M",2,"9",62.3809230774641,1,"0","30M"
"M_60M",1,"10",52.12329081,1,"0","60M"
"M_60M",1,"6",54.41857027,1,"0","60M"
"M_60M",1,"7",53.62967363,1,"0","60M"
"M_60M",1,"8",51.77864274,1,"0","60M"
"M_60M",1,"9",52.02082771,1,"0","60M"
"M_60M",2,"10",56.3112350478768,1,"0","60M"
"M_60M",2,"6",70.4367096722126,1,"0","60M"
"M_60M",2,"7",57.4451170712709,1,"0","60M"
"M_60M",2,"8",57.5601132139563,1,"0","60M"
"M_60M",2,"9",57.4866121411323,1,"0","60M"
